S value,Comparisons,CPU Time (s)
3,18674724,0.225277
4,18728733,0.219241
5,18727532,0.221248
6,18726602,0.219367
7,18820206,0.223189
8,19072809,0.216856
9,19071145,0.215948
10,19072851,0.216320
11,19075321,0.215125
12,19073233,0.217267
13,19072856,0.216538
14,19071426,0.214740
15,19883196,0.213515
16,20222722,0.213410
17,20225339,0.207776
18,20226405,0.208541
19,20220324,0.212218
20,20226351,0.210676
21,20225947,0.212866
22,20218600,0.217181
23,20224756,0.214409
24,20225268,0.214306
25,20222971,0.211602
26,20222179,0.216360
27,20221378,0.215979
28,20223959,0.212368
29,20221579,0.215795
30,21605552,0.216104
31,23181392,0.216702
32,23178529,0.216140
33,23197157,0.216790
34,23181406,0.217028
35,23187946,0.217718
36,23185646,0.217239
37,23184074,0.217666
38,23191854,0.213694
39,23182642,0.217972
40,23188578,0.218481
41,23188016,0.218278
42,23185427,0.220824
43,23181705,0.221572
44,23183737,0.219610
45,23189917,0.217939
46,23184779,0.221547
47,23185099,0.215144
48,23181391,0.215981
49,23181499,0.215444
50,23198070,0.219374
51,23184597,0.220454
52,23194744,0.217929
53,23184625,0.215385
54,23188904,0.216773
55,23191007,0.217022
56,23188787,0.220860
57,23179738,0.219855
58,23182518,0.216162
59,23190769,0.216068
60,23177007,0.217088
61,29658948,0.230825
62,29899608,0.237523
63,29905315,0.236078
64,29890414,0.231537
65,29875409,0.231809
66,29915790,0.230693
67,29892223,0.231073
68,29900195,0.232805
69,29917281,0.231654
70,29891661,0.231785
71,29893675,0.231609
72,29897058,0.231928
73,29887225,0.231863
74,29885828,0.230663
75,29902494,0.237393
76,29905332,0.232698
77,29891914,0.231329
78,29921257,0.231142
79,29901443,0.237712
80,29913667,0.232380
81,29908604,0.232872
82,29900701,0.230206
83,29901401,0.231462
84,29910570,0.232041
85,29896666,0.231372
86,29889827,0.232102
87,29904224,0.232149
88,29915945,0.230713
89,29906437,0.231102
90,29885858,0.231406
91,29888423,0.230455
92,29887169,0.230846
93,29892646,0.234806
94,29912647,0.232403
95,29890940,0.232570
96,29905148,0.231664
97,29886164,0.231760
98,29882861,0.231129
99,29915467,0.231988
100,29908008,0.231181
